epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2726.76,0.90687,0.53733,1.03884,0.98851,0.9633,0.98843,0.77262,0.82531,0.45366,0.95143,0.0008647,0.0008647,0.0008647
43,2790.54,0.90594,0.53136,1.03914,0.98164,0.97477,0.99029,0.74358,0.90221,0.45694,0.98309,0.0008614,0.0008614,0.0008614
44,2855.41,0.90495,0.52949,1.03835,0.99061,0.96738,0.98806,0.74503,0.88689,0.45725,0.97549,0.0008581,0.0008581,0.0008581
45,2918.45,0.89682,0.52957,1.04232,0.99061,0.9674,0.9906,0.76032,0.87973,0.45915,0.97874,0.0008548,0.0008548,0.0008548
46,2981.43,0.88767,0.51329,1.03406,0.98811,0.98165,0.9918,0.76082,0.87774,0.44269,0.97253,0.0008515,0.0008515,0.0008515
47,3044.43,0.89906,0.5239,1.0341,0.99251,0.97018,0.98987,0.74828,0.87398,0.45955,0.97358,0.0008482,0.0008482,0.0008482
48,3107.36,0.89105,0.51223,1.03948,0.98879,0.97248,0.98905,0.77364,0.83978,0.43794,0.95644,0.0008449,0.0008449,0.0008449
49,3172.29,0.8794,0.50773,1.04027,0.99063,0.97041,0.98962,0.75635,0.86213,0.43605,0.96094,0.0008416,0.0008416,0.0008416
50,3235.57,0.8937,0.52601,1.04099,0.9936,0.96789,0.98782,0.73223,0.94556,0.44295,0.99698,0.0008383,0.0008383,0.0008383
51,3302.56,0.88721,0.52776,1.02565,0.98824,0.96342,0.9915,0.75934,0.84813,0.44111,0.95888,0.000835,0.000835,0.000835
52,3367.3,0.88386,0.52141,1.0279,0.99264,0.97477,0.99061,0.76817,0.83135,0.43624,0.95008,0.0008317,0.0008317,0.0008317
53,3430.78,0.87411,0.51313,1.03391,0.98222,0.9656,0.98654,0.76546,0.84714,0.4489,0.96651,0.0008284,0.0008284,0.0008284
54,3493.1,0.85858,0.51121,1.02108,0.99532,0.97623,0.99096,0.75663,0.88135,0.427,0.9725,0.0008251,0.0008251,0.0008251
55,3558.26,0.88245,0.51459,1.03169,0.98619,0.98284,0.99388,0.75062,0.89868,0.43351,0.98085,0.0008218,0.0008218,0.0008218
56,3621.35,0.85916,0.4978,1.01787,0.99686,0.96789,0.99296,0.76458,0.86507,0.43248,0.96533,0.0008185,0.0008185,0.0008185
57,3686.37,0.89722,0.51526,1.02667,0.99528,0.96706,0.99332,0.75574,0.88028,0.43338,0.97178,0.0008152,0.0008152,0.0008152
58,3750.07,0.85662,0.50123,1.01058,0.99106,0.97477,0.99269,0.7436,0.96076,0.43099,1.00793,0.0008119,0.0008119,0.0008119
59,3816.72,0.87332,0.50788,1.017,0.98607,0.97399,0.99214,0.75896,0.85032,0.4181,0.96358,0.0008086,0.0008086,0.0008086
60,3879.94,0.8797,0.49483,1.00974,0.98415,0.97477,0.99128,0.76625,0.84033,0.41989,0.95955,0.0008053,0.0008053,0.0008053
61,3945.67,0.84912,0.48917,1.01178,0.99765,0.97231,0.99059,0.78149,0.82707,0.42471,0.94784,0.000802,0.000802,0.000802
62,4008.97,0.86524,0.49023,1.0153,0.99299,0.97431,0.98723,0.76222,0.85993,0.42649,0.9598,0.0007987,0.0007987,0.0007987
63,4075.19,0.84556,0.48599,1.0129,0.98843,0.97969,0.99341,0.78257,0.81215,0.41139,0.94477,0.0007954,0.0007954,0.0007954
64,4141.89,0.85937,0.49591,1.01476,0.99521,0.96101,0.99193,0.78622,0.80004,0.42111,0.94078,0.0007921,0.0007921,0.0007921
65,4206.7,0.85129,0.48461,1.01223,0.99045,0.9516,0.98824,0.77007,0.832,0.45157,0.94944,0.0007888,0.0007888,0.0007888
66,4271.98,0.858,0.49783,1.01097,0.99736,0.96789,0.99204,0.76983,0.83517,0.43171,0.9511,0.0007855,0.0007855,0.0007855
67,4336.57,0.86637,0.49572,1.0226,0.99752,0.98165,0.99277,0.77812,0.83444,0.41735,0.95465,0.0007822,0.0007822,0.0007822
68,4402.92,0.84155,0.48385,1.0088,0.98845,0.97706,0.98999,0.77709,0.84728,0.41682,0.9622,0.0007789,0.0007789,0.0007789
69,4469.34,0.84192,0.48166,0.9976,0.99234,0.97018,0.99233,0.77892,0.80927,0.42144,0.94302,0.0007756,0.0007756,0.0007756
70,4535.35,0.85737,0.49405,1.01342,0.98835,0.97706,0.9919,0.77801,0.79934,0.4165,0.93846,0.0007723,0.0007723,0.0007723
71,4601.36,0.85234,0.47917,1.00677,0.99148,0.9656,0.99254,0.76247,0.86066,0.43162,0.96028,0.000769,0.000769,0.000769
72,4665.7,0.85294,0.49067,1.01447,0.99015,0.95872,0.99171,0.75501,0.87844,0.42766,0.9763,0.0007657,0.0007657,0.0007657
73,4732.41,0.84085,0.47809,1.00701,0.98969,0.95872,0.99369,0.74852,0.91723,0.4167,0.98863,0.0007624,0.0007624,0.0007624
74,4796.24,0.84417,0.47882,1.01088,0.9768,0.96571,0.98908,0.79018,0.7997,0.42612,0.94394,0.0007591,0.0007591,0.0007591
75,4860.82,0.83862,0.47826,1.00505,0.9838,0.97511,0.98625,0.78123,0.82437,0.41644,0.94787,0.0007558,0.0007558,0.0007558
76,4925.46,0.84729,0.48362,1.00175,0.97728,0.97706,0.99336,0.77684,0.82163,0.41184,0.95366,0.0007525,0.0007525,0.0007525
77,4990.31,0.83069,0.47279,1.00006,0.98485,0.97018,0.98905,0.79034,0.79331,0.4126,0.93603,0.0007492,0.0007492,0.0007492
78,5055.72,0.83712,0.46491,0.99321,0.98963,0.97018,0.99332,0.78385,0.81194,0.40655,0.94169,0.0007459,0.0007459,0.0007459
79,5119.65,0.83273,0.47463,1.00462,0.99003,0.97248,0.98993,0.78063,0.79731,0.40748,0.94028,0.0007426,0.0007426,0.0007426
80,5182.98,0.84798,0.48014,1.0224,0.98741,0.97248,0.99176,0.78613,0.80849,0.40716,0.94345,0.0007393,0.0007393,0.0007393
81,5248.23,0.84254,0.47006,1.00742,0.99046,0.97936,0.99351,0.78415,0.79697,0.40619,0.94045,0.000736,0.000736,0.000736
82,5312.47,0.81993,0.46875,1.00088,0.993,0.97563,0.99186,0.78305,0.80638,0.39911,0.93998,0.0007327,0.0007327,0.0007327
83,5377.14,0.82958,0.46807,1.0065,0.98809,0.97936,0.99288,0.79614,0.76605,0.39572,0.92525,0.0007294,0.0007294,0.0007294
84,5440.51,0.8287,0.46364,1.00492,0.98842,0.9789,0.99366,0.78156,0.79904,0.39643,0.93815,0.0007261,0.0007261,0.0007261
85,5506.41,0.83547,0.46923,1.01397,0.9953,0.97118,0.99363,0.78433,0.79334,0.40275,0.93319,0.0007228,0.0007228,0.0007228
86,5570.07,0.82971,0.47644,1.00465,0.99062,0.96847,0.99009,0.78879,0.78493,0.40248,0.93166,0.0007195,0.0007195,0.0007195
87,5633.97,0.82481,0.4603,0.99915,0.9953,0.97228,0.99297,0.79557,0.79082,0.40782,0.94002,0.0007162,0.0007162,0.0007162
88,5699.01,0.81588,0.4585,0.99706,0.9927,0.97248,0.99328,0.78228,0.79035,0.40425,0.93682,0.0007129,0.0007129,0.0007129
89,5763.01,0.82607,0.46087,1.00656,0.99292,0.96462,0.98611,0.7832,0.78544,0.4035,0.92878,0.0007096,0.0007096,0.0007096
90,5828.83,0.81872,0.46253,1.00168,0.98893,0.97018,0.99161,0.79429,0.78514,0.40412,0.93278,0.0007063,0.0007063,0.0007063
91,5894.99,0.81477,0.4641,1.00343,0.99298,0.97381,0.99115,0.76918,0.81766,0.40699,0.94568,0.000703,0.000703,0.000703
