epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2764.2,0.77409,0.44628,0.8775,0.99519,0.94832,0.98908,0.75112,0.7882,0.41922,0.81314,0.0008647,0.0008647,0.0008647
43,2826.16,0.78006,0.44964,0.88185,0.98018,0.9656,0.99304,0.76376,0.8302,0.43005,0.81666,0.0008614,0.0008614,0.0008614
44,2892.67,0.77603,0.44558,0.87225,0.98957,0.96789,0.98564,0.75533,0.82532,0.42184,0.81833,0.0008581,0.0008581,0.0008581
45,2957.03,0.76743,0.44525,0.87576,0.98975,0.9633,0.9847,0.76406,0.77299,0.41166,0.81171,0.0008548,0.0008548,0.0008548
46,3022.22,0.75032,0.44432,0.87171,0.98414,0.96789,0.98446,0.76313,0.82174,0.42358,0.81718,0.0008515,0.0008515,0.0008515
47,3086.84,0.76746,0.44907,0.87671,0.99301,0.9769,0.98841,0.77026,0.77317,0.42234,0.8079,0.0008482,0.0008482,0.0008482
48,3150.85,0.76,0.43822,0.87346,0.98579,0.95461,0.98633,0.77966,0.75369,0.40485,0.80772,0.0008449,0.0008449,0.0008449
49,3214.26,0.76031,0.44428,0.88554,0.99526,0.96402,0.99029,0.75449,0.81536,0.43433,0.81388,0.0008416,0.0008416,0.0008416
50,3277.03,0.77043,0.45055,0.8781,0.98296,0.97706,0.98564,0.74569,0.86298,0.43679,0.82302,0.0008383,0.0008383,0.0008383
51,3342.28,0.75495,0.44399,0.87245,0.98996,0.9633,0.98957,0.74465,0.83994,0.42938,0.82372,0.000835,0.000835,0.000835
52,3409.07,0.75399,0.43985,0.86665,0.97713,0.97992,0.98592,0.74959,0.88812,0.42077,0.81937,0.0008317,0.0008317,0.0008317
53,3474.04,0.75705,0.43995,0.87326,0.97696,0.97239,0.98919,0.75973,0.76506,0.40788,0.81143,0.0008284,0.0008284,0.0008284
54,3538.32,0.74661,0.43126,0.87653,0.99055,0.97936,0.99322,0.77408,0.78167,0.39331,0.81106,0.0008251,0.0008251,0.0008251
55,3600.19,0.75553,0.42406,0.87771,0.98603,0.97113,0.98547,0.74333,0.85239,0.41901,0.82433,0.0008218,0.0008218,0.0008218
56,3665.43,0.739,0.42098,0.87188,0.98835,0.97248,0.98972,0.74445,0.82156,0.41476,0.81778,0.0008185,0.0008185,0.0008185
57,3729.36,0.75541,0.4298,0.87568,0.98947,0.98394,0.99438,0.76769,0.81089,0.40621,0.8163,0.0008152,0.0008152,0.0008152
58,3795.59,0.75404,0.42808,0.87127,0.99956,0.96789,0.99357,0.77817,0.77749,0.39514,0.81079,0.0008119,0.0008119,0.0008119
59,3861.97,0.74995,0.42963,0.87336,0.99528,0.9677,0.98327,0.76231,0.7662,0.44024,0.80508,0.0008086,0.0008086,0.0008086
60,3927.48,0.73984,0.42443,0.86986,0.99764,0.96786,0.99205,0.76558,0.79718,0.39058,0.81262,0.0008053,0.0008053,0.0008053
